City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Owando,CG,-0.4819,15.8999,81.75,44,100,2.39,overcast clouds
80,Albany,US,42.6001,-73.9662,78.44,42,2,3.24,clear sky
81,Rawson,AR,-43.3002,-65.1023,62.89,36,0,23.02,clear sky
82,El Sauce,NI,12.8869,-86.539,85.86,66,99,3.53,overcast clouds
83,Baykit,RU,61.67,96.37,42.73,89,1,3.18,clear sky
84,Tasiilaq,GL,65.6145,-37.6368,34.99,64,6,5.79,clear sky
85,Dhidhdhoo,MV,6.8833,73.1,81.48,79,68,12.19,broken clouds
86,Bin Qirdan,TN,33.1378,11.2197,86.38,34,0,11.95,clear sky
87,Xuanhua,CN,40.6103,115.0447,72.21,98,100,7.96,light rain
88,Sitka,US,57.0531,-135.33,60.69,77,100,10.36,overcast clouds
89,Pop,UZ,40.8736,71.1089,73.89,30,0,4.94,clear sky
90,Kearney,US,40.6995,-99.0815,90.16,51,0,9.22,clear sky
91,Upernavik,GL,72.7868,-56.1549,44.98,73,100,4.92,overcast clouds
92,Brae,GB,60.3964,-1.353,56.03,95,68,6.6,broken clouds
93,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,9.22,broken clouds
94,Grindavik,IS,63.8424,-22.4338,51.75,81,75,5.75,broken clouds
95,Cidreira,BR,-30.1811,-50.2056,60.93,83,100,6.46,overcast clouds
96,Clyde River,CA,70.4692,-68.5914,39.43,100,100,14.97,overcast clouds
97,Mangalam,IN,9.7667,78.6667,84.58,60,96,2.21,overcast clouds
98,Rikitea,PF,-23.1203,-134.9692,72.91,79,49,22.21,light rain
99,Rivers,CA,50.0308,-100.2403,77.95,41,1,2.57,clear sky
100,Butaritari,KI,3.0707,172.7902,81.16,79,22,15.93,light rain
101,Vestmannaeyjar,IS,63.4427,-20.2734,48.92,90,100,11.63,overcast clouds
102,Lagoa,PT,39.05,-27.9833,75.11,88,0,10.96,clear sky
103,Avanigadda,IN,16.0215,80.9181,82.33,70,100,7.87,overcast clouds
104,Sobolevo,RU,54.4299,31.8996,62.73,91,97,7.61,overcast clouds
105,Shingu,JP,33.7333,135.9833,81.64,83,94,5.61,overcast clouds
106,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,3.44,light rain
107,Noumea,NC,-22.2763,166.4572,73.0,99,70,10.36,broken clouds
108,East London,ZA,-33.0153,27.9116,58.06,85,86,10.04,overcast clouds
