City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Jamestown,US,75.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
164,Huautla,MX,90.28,overcast clouds,21.0333,-98.2833,Hotel Huautla
167,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
170,Silver City,US,73.36,light rain,32.7701,-108.2803,Copper Manor Motel
173,Totness,SR,81.3,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
174,Mahon,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
176,Talagang,PK,87.17,scattered clouds,32.9297,72.4158,Sajid Iqbal Manzil
182,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
183,Seoul,KR,74.8,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
185,Portland,US,81.57,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
186,Sao Joao Da Barra,BR,71.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
188,College,US,73.08,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
189,Daru,PG,77.5,few clouds,-9.0763,143.2092,Daru Lodge
192,Konotop,UA,71.17,broken clouds,51.2403,33.2026,УКРАЇНА ГОТЕЛЬ
193,Isangel,VU,71.71,broken clouds,-19.55,169.2667,Tanna Lodge
197,Darnah,LY,79.72,clear sky,32.767,22.6367,فندق الفردوس
198,Chambersburg,US,82.42,scattered clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
201,Pindi Bhattian,PK,87.78,clear sky,31.8978,73.273,شاہی دھی بھلےاینڈفرٹ چارٹ
202,Bengkulu,ID,74.91,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
206,Katsuura,JP,80.62,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
207,Umm Lajj,SA,84.87,broken clouds,25.0213,37.2685,Moon light Furnished Units
209,Guerrero Negro,MX,84.51,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
211,Zhuhai,CN,82.11,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
214,Turner,US,73.13,overcast clouds,44.2565,-70.2562,Turner Masonic Lodge # 101
215,Kijang,KR,82.13,broken clouds,35.2442,129.2139,Samyang Beach Villa
216,Broome,US,78.67,few clouds,42.2506,-75.833,Chenango Valley State Park
218,Forestville,US,84.92,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
221,Liuzhou,CN,77.16,few clouds,24.3126,109.3892,Linjiang Inn
223,Tabuk,PH,74.35,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
225,Acajutla,SV,83.1,broken clouds,13.5928,-89.8275,Laureles
227,Port Blair,IN,80.71,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Hatillo,PR,87.19,clear sky,18.4863,-66.8254,El Buen Hotel
229,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Green leaf
230,Victoria,HK,82.33,clear sky,22.2855,114.1577,Mini Central
231,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
233,San Ramon,US,93.94,clear sky,37.7799,-121.978,San Ramon Marriott
235,Colares,PT,70.29,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
236,Ibra,OM,83.98,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
237,Auch,FR,73.45,overcast clouds,43.65,0.5833,Hotel Le Domaine De Baulieu
238,Sun Prairie,US,73.47,scattered clouds,43.1836,-89.2137,Super 8 by Wyndham Sun Prairie/Madison E
240,Auburn Hills,US,70.16,overcast clouds,42.6875,-83.2341,Embassy Suites by Hilton Auburn Hills
241,Kaduqli,SD,72.41,light rain,11.0167,29.7167,Nussyba
242,Salalah,OM,75.0,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
244,Yiyang,CN,80.85,broken clouds,28.5892,112.3283,Tongcheng International Hotel
246,Waingapu,ID,76.06,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
248,Saint George,US,88.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
249,Jacala,MX,78.98,overcast clouds,21.0167,-99.1833,Terreno Tzady Yuriza
251,Neumunster,DE,74.07,broken clouds,54.0667,9.9833,Best Western Hotel Prisma
255,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
266,Norman Wells,CA,82.44,clear sky,65.282,-126.8329,Heritage Hotel
268,Lufilufi,WS,82.18,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
269,Muli,MV,80.55,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
272,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
279,Belmonte,BR,72.19,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
281,Palmer,US,76.64,broken clouds,42.1584,-72.3287,Wedgewood Motel
282,Jinchang,CN,72.54,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
286,Mumford,GH,74.19,overcast clouds,5.2618,-0.759,Spanish Villa
288,San Patricio,US,94.15,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
290,Balabac,PH,80.44,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
291,Ahuimanu,US,85.14,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
293,Cabo San Lucas,MX,93.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
296,Alvaraes,BR,85.87,broken clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
297,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
298,Billings,US,93.29,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
300,Katobu,ID,73.0,clear sky,-4.9408,122.5276,La Ode Husein
302,Sabang,ID,82.0,broken clouds,5.8933,95.3214,Hotel Citra
303,Altamont,US,87.4,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
305,Touros,BR,75.94,few clouds,-5.1989,-35.4608,INN NEW HORIZON
306,Koungou,YT,74.91,scattered clouds,-12.7336,45.2042,Villa Netibor
308,Banamba,ML,77.59,light rain,13.55,-7.45,Kassela de Banamba
310,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
313,Isla Aguada,MX,91.44,overcast clouds,18.7833,-91.4667,Freedom Shores
314,Sinnamary,GF,80.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
316,Lorengau,PG,82.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
317,Turan,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
319,Kashi,CN,76.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
320,Caranavi,BO,70.75,scattered clouds,-15.8167,-67.55,Hotel LANDIVAR
